,label,doc,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5
22,sci.med,articl apr cs rochest fulk cs rochest mark fulk write familiar histori experi arguabl pretti detail account hempel philosophi natur scienc contemporari found result surpris quibbl toricelli reason experi post hoc construct reason thought head consid problem smack bit ideolog supposit toricelli subsequ descript reason verid danger close unfalsifi view histori methodolog scienc deni subsequ report experiment reliabl descript real reason imposs toricelli thought bad root bernstein servic scienc root pasteur fleme peopl note discov surpris clue motiv pasteur public admit plan creat mirror imag life dream notebook final public year readi read friend ridicul reason pursu result mad colleagu poor written claim disprov claim toricelli case rareti fantasi motiv experi turn end point type case rariti fact point pasteur common studi spontan generat ferment readili conced ridicul reason play import role scientist spend time confus motiv methodolog suppos ridicul reason provid impetus major case base infrequ anecdot evid gari merril princip system develop compil develop sas institut sas campus dr cari nc sasghm theseus unx sas mcnc sas sasghm,sci.med scienc,"sci.med scienc,experi,methodolog","sci.med disprov,methodolog","sci.med experi,scienc,methodolog","sci.med life,methodolog"
23,sci.med,ks keith actrix gen nz keith stewart ks wife interest acquaint post polio syndrom ks appar recognis zealand sympton ks chest complaint treat separ anon inform condit recognis sens diseas diagnost criteria clear boundari diseas uniqu patholog physiolog featur neurologist agre post polio syndrom patient evid motor neuron diseas clinic examin emg muscl biopsi abnorm chronic due polio evid ongo deterior clinic patient complain declin strength endur everyday motor task musculoskelet pain univers featur doubtless contribut impair perform examin show muscl weak atrophi emg show evid denerv reinnerv giant long durat motor unit action potenti evid activ denerv fibril potenti biopsi show denerv reinnerv fiber type group evid activ denerv small angul fiber dens oxid enzym stain curious group atrophi post polio patient al al clinic evid deterior month post polio patient remark stabl object find year patient polio develop genuin al al common polio survivor peopl polio post polio syndrom unknown evid post polio patient activ polio virus destruct immunolog respons virus antigen solid evid patient post polio happen motor unit anterior horn cell motor axon neuromuscular junction muscl fiber patient polio complain deterior group emg biopsi find reason acut chronic diseas polio unknown possibl spinal motor neuron reinnerv huge number muscl fiber start shed load year coupl clinic featur distinguish post polio syndrom patient patient polio deni deterior pps patient sever polio pps patient complain pain tend score higher depress scale neuropsycholog test disagre recoveri sever polio abnorm load muscl tendon ligament bone joint lead inflammatori degen condit affect structur increas pain superimpos chronic unchang weak lead progress impair motor perform adl bias person experi pps patient limit pain pps patient rapid deterior motor unit pps patient polio similar sever pps complaint slmr mail jim zisfein factori jim zisfein,sci.med diseas,"sci.med diseas,neurologist,biopsi,clinic,patient,chronic","sci.med anterior,atrophi,biopsi,degen,denerv","sci.med cell,biopsi,muscl,neuron,anterior,atrophi,biopsi,degen",sci.med syndrom
24,sci.med,summari thread person crohn raw veget problem unspecifi steve holland repli patient mild obstruct avoid thing plug crohn dietari restrict general articl apr aio jsc nasa gov spenser fudd jsc nasa gov spenser aden wrote interest statement simpli told question steve claim doctor agre food don bring recurr crohn inflamm mild drastic enhanc due food feel obout chang gi communiti current feel inflamm induc food evid patient depriv food mucos atrophi due lack stimul intestin growth factor interest provid small amount nasogastr feed patient iv nutrit digress symptom drastic enhanc food inflamm major obstruct result resect good caveat told low residu diet call basic idea inflamm gut realiz patient residu system caught fold inflamm constant irrit exacerb problem doesn digest complet point common inflamm avoid ve told typic crohn termin ileum diet low residu consist complet item corn kernel husk doesn digest popcorn dri dehydr fruit fruit skin nut tough give fudg low residu diet obstruct felt food inflamm food avoid stuck ahead fudg discourag great raw veget fibrous wheat raw grain bread exot lettuc iceberg appar water green turnip mustard kale seed sesam arbi long grain wild rice huski bean ll generat gas basic requir heavi digest process told process food iron day age point prevent give system chanc inflam told numer thing heavili discourag list want felt bad don rememb remiss veggi cook daylight prefer steam cook mileag vari check doctor don word info ve start point discuss good luck spencer make good point observ inform patient patient problem digest process idea chang food problem avoid food test time food real crohn common intermitt symptom patient end sever restrict diet month renorm good articl ccfa newslett recent discuss issu dietari restrict fiber worth read interest crohn deal crohn spencer good luck steve holland,"sci.med inflamm,crohn,atrophi,dehydr,dietari,fibrous","sci.med patient,doctor,inflamm,symptom,crohn","sci.med atrophi,daylight,dehydr,dietari,fibrous","sci.med crohn,dehydr,fibrous",sci.med doctor
25,misc.forsale,panason kx th combo black cordless speaker phone ship obo curti math vhs vcr remot includ work univers remot work great replac stereo vcr paid year ago sell deliv obo radio shack stereo amp input tone left volum speaker includ ship interest mail radley gibb oit unc call keith ps made type email address post correct major comput scienc eith radley minor english radley gibb oit unc comput amiga univers north carolina,misc.forsale ,"misc.forsale ship,includ,sell","misc.forsale interest,ship","misc.forsale sale,sell,includ","sci.med sell,obo"
26,rec.autos,repli aa po cwru andrew spencer nntp post host slc in cwru previous articl crh regent technik tu muenchen dbp de christian huebner brad buck viewlog bradford kellogg write talk form rush evid fun terrifi hey kind rush bobsled make car feel stroll park good driver terrifi mph thing fear driver switch left lane rear view mirror flasher ain rush fun faster point terrifi drive fast ll hazard btw flame read mail address talk live germani bk chris crh regent technik tu muenchen de flame point scare feel car couldn handl driver stupid pull car length yeah real smart scare citi car make recogniz close read newspap sigh america speed limit driver dumb realis read paper breakfast work car thought drew,rec.autos driver,"rec.autos driver,car,lane,speed","rec.autos driver,speed","rec.autos flasher,car",rec.autos driver
27,misc.forsale,minolta fd mm len sale good condit rupin dang dartmouth,misc.forsale ,"misc.forsale ask,sale,condit","misc.forsale sale,good",misc.forsale ,misc.forsale forsal
28,rec.autos,archiv rec auto part automot mail list electron mail updat lotus exot car list subscript info ad portland motorsport list corvair list triumph tr list rpw number electron mail list network devot special automot topic knowledg list appear open membership polici polici list close mail list mail list provid separ address administr queri general mail separ administr address exist list general address inquiri request audi send request quattro request ari east sun autocross solo send request autox request hoosier cs utah bmw send request bmw request balltown cma regular digest form british car send request british car request hoosier cs utah buick grand nation regal gnx send request gnttype request srvsn monsanto camaro firebird gm bodi send request bodi request boogi ebay sun corvair send request bryan pegasus mitr org corvett list competit orient list general natur told competit send request vett request cimag general send request vett request compaq datsun fairladi roadster send request datsun roadster request hoosier cs utah dodg stealth mitsubishi gt send request stealth req jim wupost wustl eclips talon laser send request diginst talon request radius electr vehicl send request info ev request ymir claremont exot car send request exot car request sol asl hitachi fabric race car send request racefab request pms pms ford intern harvest discuss scout pickup send request ihc request balltown cma italian car send request italian car request balltown cma regular digest form honda listserv brownvm brown standard listserv subscript procedur mail messag bodi listserv honda real subject line header hot rod send request hotrod request dixi land rover send request land rover owner request stratus lotus send request lotus car request netcom mazda send request mazda list request ms uki miata listserv jhunix hcf jhu standard listserv subscript procedur mail messag bodi listserv miata real subject line header merkur send request merkur request pcad mopar high perform chrysler dodg plymouth product send request mopar casbah acn nwu mr send request mr interest request validgh mustang list mustang mustang care mustang ii don classic send request classic mustang request hpfctjc fc hp modern send request mustang request cup hp offroad x send request offroad request ai gtri gatech porsch send request porschephil request tta portland oregon motorsport activ send request pdxracer request reed ralli send request ralli request stratus rx send request jjn cblpf att saab send request saab network mhs compuserv saturn send request saturn request oar net school high perform drive school send request school request balltown cma sentra se g n send request se request pencom supra send request supra request vicor toyota send request toyota request quack sac ca triumph tr v tr send request jtc ccwf cc utexa volvo request swedishbrick request rochest wheel wheel race forum race driver worker crew wannab send request wheeltowheel request abingdon sun car nissan datsun send request car request dixi richard welti welti cabot balltown cma good report full rotat race car pitch roll axi carrol smith,"rec.autos lotus,exot","rec.autos car,motorsport,buick","rec.autos autocross,autox,buick",misc.forsale sale,"rec.autos car,buick"
29,rec.autos,boyl cactus org craig boyl write articl csxi jb news cso uiuc cka uxa cso uiuc oriolefan uiuc write gibbonsa fraser sfu ca darren gibbon write inform opel car model sad truth seater roll headlight hard top sporti friend sit yard nice condit bodi wise transmiss seiz hasn run info car engin compart tight work fine shape interest darren gibbon gibbonsa sfu ca manta sold buick dealer mid price leader sound lot opel gt guess chassi kadett bigger manta easili wrong kadett sold buick opel craig manta european gt pretti kadett sold pontiac leman gt earli s mid s manta chintan amin univers illinoi urbanachampaign mail llama uiuc sig construct hard hat area,rec.autos opel,"rec.autos car,model,transmiss,buick,chassi","rec.autos buick,chassi","misc.forsale car,chassi","rec.autos car,buick"
30,talk.politics.mideast,articl apr urartu sdpa org dbd urartu sdpa org david davidian write articl apr kth se hilmi er dsv su se hilmi eren write david davidian armenian lose lack food fuel warmth fascist turkey show teeth good turkey lose yell scream bark dog davidian fascist armenian azerbaijan kill azeri peopl invad azeri soil fascist lack food ha strang explan excus situat herkesi fasist diy damgala sonra kendileri fasistligin alasini yapinca ac kaldilar da yiyecekleri yok amcasi bu seferlik affedin de yurrruuu yuru de plaka numarani alalim hakan,talk.politics.mideast armenian,"talk.politics.mideast armenian,turkey,azerbaijan,azeri","talk.politics.mideast turkey,fasist","talk.politics.mideast fascist,turkey",talk.politics.mideast armenian
31,comp.graphics,nntp post host dlsg dl ac uk softwar call shadow simpl raytrac visual synchrotron beam line version program don document doc newer version program program sort thing love hear ps shadow written cerrina idea gari serc daresburi lab,"comp.graphics beam,raytrac,synchrotron,visual","comp.graphics softwar,doc,raytrac,visual",comp.graphics visual,"comp.graphics beam,raytrac,synchrotron,visual","comp.graphics softwar,visual"
32,rec.autos,nntp post host europ buy ix comput control diff horrid viscous coupl outgo ix eliot,rec.autos ,"rec.autos diff,bmw",comp.graphics comput,rec.autos bmw,rec.autos 525ix
33,comp.graphics,interest ray trace pictur nice alt binari pictur misc file call poolbal gif show pooltabl poolbal resolut x colour tga bit version bit big mb post pictur creat pov ray enjoy gerco cgschot cs ruu nl gerco schot cgschot cs ruu nl,"comp.graphics colour,ray","comp.graphics resolut,trace,gif,ray","comp.graphics colour,gif,ray","comp.graphics colour,gif",comp.graphics pictur
34,rec.autos,nntp post host ferri cray organ cray research distribut usa articl qcaueinnmt axon cs unc andrew brandt write look instal honda crx si unit ship instal hour top hunk chang place aftermarket instal honda unit parti unit find put parti unit honda carolina prefer place nearbi refer handi thx andi brandt cs unc les bartel comment question comment make aftermarket unit frost king frost temp forget aftermarket unit cavali unhappi fan noisi doesn put air aftermarket instal vehicl trust qualiti perform experi les les bartel live forev add instal ford garag work instal factori pickup ident mine talk peopl result don problem ford erni smith,rec.autos honda,"rec.autos honda,vehicl,ford","rec.autos honda,ford,vehicles","rec.autos honda,pickup","rec.autos honda,crx"
35,rec.autos,distribut world nntp post host mizar usc honda accord hit magic mile mark sort thing begin bad latest problem experienc brake stop car fine stop complet brake pedal sink inch feel strang worri brake quit work day check brake fluid reservoir full fluid look dirti dirti oil call mechan told brake master cylind cost whop wonder experienc sort thing mechan honest simpli brake bled fluid put provid appreci send repli direct rare chanc read list post respons interest joni ciarlett mizar usc,rec.autos honda,"rec.autos brake,car,cylind,pedal","rec.autos honda,pedal,oil","rec.autos honda,pedal,oil",rec.autos honda
36,talk.politics.mideast,articl chuba cjo news cso uiuc eshneken ux cso uiuc edward shnekendorf write amehdi src honeywel hossien amehdi write isra f general dynam fli high sky bomb hell villag lebanon civilian includ babi elderi kill plain murder arab wouldn posit guerilla base refuge camp artilleri batteri atop apart build munit dump hospit civilian wouldn kill kinda saddam hussein put civilian militari bunker ed arab repli articl assum arab arab brain full shit bombard civilian civilian area lebanon israel consist polici intimid polici practic call democraci middl east merley point side suffer arab lebanes bet defend homeland invad mean,talk.politics.mideast bombard,"talk.politics.mideast isra,lebanon,civilian,arab,guerilla,refuge","talk.politics.mideast bunker,lebanon","talk.politics.mideast amehdi,hossien,lebanon","talk.politics.mideast isra,lebanon"
37,rec.autos,nuet ke pts mot keith nuetzman x p write wife inform convert car live south fla wife mention miata small wait mustang dec opinion convert reason price rang old suprem convert high mark recent test stupid bodi mold stuff saab ragtop rang good choic car convert nissan sx convert nice car immedi mind chintan amin univers illinoi urbanachampaign mail llama uiuc neil peart quick judg quick anger slow understand ignor prejudic fear walk hand hand,rec.autos convert,"rec.autos car,miata,mustang,nissan,convert",rec.autos nissan,"rec.autos convertib,miata","talk.politics.mideast convert,nissan"
38,comp.graphics,osprey ux cso uiuc luca adamski write articl apr sophia smith orourk sophia smith joseph rourk write articl cnx bl news cso uiuc osprey ux cso uiuc luca adamski write fast polygon routin d game fast polygon routin draw polygon vga mode h x game ve fast triangl fill draw routin mode h call routin time fast polygon draw routin ftp ed wuarchiv wustl pub msdos upload program copi reupload triangl txt file inlin assembl sourc vga mode h triangl drawer stephen quan quan sol surv uta au tel local research fellow comput scientist fax local centr spatial inform system tel univers tasmania australia fax,comp.graphics polygon,"comp.graphics polygon,draw,triangl","comp.graphics polygon,routin",comp.graphics polygon,comp.graphics vga
39,comp.graphics,articl bu kiki problem inew gateway file keith baccki write lee lee obiwan rsg hac wrote dec alpha upgrad path xx replac upgrad path vax x alpha replac system total fair haven mention decstat seri sgi made cisc mainfram wouldn provid upgrad path onyx agre upgrad path fair origin post complain sgi come newer architectur upgrad path older dec statement attempt point comput compani constant attempt improv product market posit share eventu point architectur upgrad path replac system system complain comput lifetim statement felt dec histori provid upgrad superior industri averag opinion sgi histori dec dec mip base decstat line abandon alpha base line provid upgrad path r tfp r,comp.graphics upgrad,"comp.graphics comput,architectur","comp.graphics system,comput,gateway",comp.graphics mip,comp.graphics mip
40,rec.autos,jeremi mere zonker cmu offer opinion ford probe ala long run repair record reliabl mileag fix buy car month aim bigger typic small car power mx probe accord corolla sx probe youngest bunch interest opinion magazin rate book place excel btw sx rear wheel drive due design advanc don read read group valentin radar inform sigh faq post bought probe gt pep a juli mile debat sentra se nx mx mr stealth prelud celica check month consum report previous probe record criteria fun car ab airbag hp k thought turbo check insur peopl rule tri star car eclips talon don air bag ditto mustang ab se nx m fell pocket rocket categori good car buy mx roll didn prelud dash instrument weird mr smaller passeng space need celica underpow load option overpr turbo form consid sx didn airbag rwd virtu corolla enter mind look mitsubishi vr dodg stealth list exhaust bought probe car design earlier year earli reliabl worth comment dislik shut door window insid rare make good wind seal headlight stuck time weather air condit broke mile pressur cycl switch condens rear washer fluid contain doesn drain complet cram engin hope yourself typic part expens normal ford part undersid plastic doesn sharp driveway speedbump typic assembl gripe tape radiat screw fell dash seat seam stitch proper fluke ford key car mon ford spend extra penni rear hatch pad corner wait day bash head corner horn button air bag spoke center person prefer tire fling dirt mud side car like engin design valv sound smooth power mileag torqu handl good fwd underst limit transmiss speed usabl instrument love readabl analog torqu steer full power sho drive stabil mph high gear low cowl good visibl front heat mirror nice fog test freez weather ab air bag rear seat fold rear seat passeng trunk import shake rattl nois bump pothol tire vr goodyear eagl left hope k primarili interest engin doesn uummmph big liter car turbo rush big sell point aluminum liter engin car good buy money market segment hasn chang juli prelud vtec honda del sol drive work day smooth road notic thing probe suspens doesn pothol test drive find pothol road town jar toler passeng mean bring ll find room back ll find car ride differ lot glass wasn expect temperatur insid car pretti hot summer back seat passeng complain lack ventil combin heat ve heard exhaust system troubl mine work fine leather keyless entri system weren car comment car offici announc prefer cloth leather wouldn car snow suspens rough inevit surpris pothol tire aren meant snow seat assum wear lot thick cloth rain water general bead windshield freeway speed windshield wiper control easi understand bare hydroplan eagl definit lack cup holder small storag place gt map holder speaker door rigid plastic fit cassett cd max center consol storag bin arm rest cup holder back front seat cloth pouch chang holder sho probe peopl mover car econo box car last don store wet car cover back foam soak water result smell pleasant nathan nathan sco jeremi mere support ye old disclaim zonker cmu internet free repres fast project cmu gsia softwar opinion mechan engin cmu ya gotta love silver line touch grey year mark th anniversari bill right mx nathan sco comment come ha ha napolean xiv,"rec.autos celica,corolla,eclips","rec.autos car,corolla,accord,windshield,goodyear","rec.autos aluminum,corolla,drain","rec.autos car,corolla,ford","comp.graphics accord,corolla"
41,talk.politics.mideast,backon vms huji ac il write articl igc apc org cpr igc apc org center polici research write true isra prison number individu secret ident date trial imprison state secret mordechai vanunu trial close door espionag case nutti professor nes ziona biolog institut mole camera wouldn call state secret trial simpli close door hate disappoint unit state number espionag case camera case john pollard ed,"talk.politics.mideast espionag,prison,mordechai,imprison","talk.politics.mideast isra,prison,espionag,imprison","talk.politics.mideast isra,mole,imprison","talk.politics.mideast mole,mordechai,pollard,imprison",talk.politics.mideast israel
